x,y,z,class,start_time,end_time,start_datetime,end_datetime,sound_path,sampled,background_silence,birds,frogs,human_speech,insects,mammals,misc/uncertain,rain_(heavy),rain_(light),vehicles_(aircraft/cars),wind_(strong),wind_(light),propagated_class,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13
11.579153,6.8220677,6.7976236,0,0,0,00:00.0,00:00.0,uploads\b67551bc-3737-11f0-85b7-581122bb7f2c\20210419T000000+1000_REC_0.wav,False,0,0,0,0,0,0,0,0,0,0,0,0,rain (light),-5.9958186,1.4194231,0.38885492,0.6689608,-0.0204641,0.22900106,-0.014116089,0.21287183,0.048503306,0.2125301,0.07964141,0.1953333,0.11667925
10.576732,6.215612,5.965248,0,0,0,00:00.0,00:00.0,uploads\b67551bc-3737-11f0-85b7-581122bb7f2c\20210419T000000+1000_REC_1.wav,False,0,0,0,0,0,0,0,0,0,0,0,0,rain (light),-6.0353127,1.2535725,0.3897051,0.6157001,0.061873794,0.2603685,0.041235816,0.22431001,-1.7305704e-06,0.15556917,0.107101664,0.1877524,0.11744239
11.500875,7.5241375,7.143081,0,0,0,00:00.0,00:00.0,uploads\b67551bc-3737-11f0-85b7-581122bb7f2c\20210419T000000+1000_REC_2.wav,False,0,0,0,0,0,0,0,0,0,0,0,0,rain (light),-5.985396,1.4162432,0.43289876,0.755227,-0.0016636896,0.22101879,-0.014987663,0.2233186,-0.0050204033,0.20340611,0.10987786,0.18604633,0.109635815
11.077563,6.182502,6.297458,0,0,0,00:00.0,00:00.0,uploads\b67551bc-3737-11f0-85b7-581122bb7f2c\20210419T000000+1000_REC_3.wav,False,0,0,0,0,0,0,0,0,0,0,0,0,rain (light),-6.0401382,1.2163517,0.38923514,0.6264129,0.04798713,0.26366195,0.031501986,0.2331613,0.060433306,0.21517526,0.12530574,0.21659993,0.114847586
10.763161,6.088688,6.443488,0,0,0,00:00.0,00:00.0,uploads\b67551bc-3737-11f0-85b7-581122bb7f2c\20210419T000000+1000_REC_4.wav,False,0,0,0,0,0,0,0,0,0,0,0,0,rain (light),-6.041263,1.216038,0.39517292,0.62257856,0.050200496,0.24182971,0.015836198,0.2278571,0.07389722,0.23068179,0.1093946,0.17171459,0.10385223
11.158929,6.4048743,6.566027,0,0,0,00:00.0,00:00.0,uploads\b67551bc-3737-11f0-85b7-581122bb7f2c\20210419T000000+1000_REC_5.wav,False,0,0,0,0,0,0,0,0,0,0,0,0,rain (light),-6.0202193,1.3130075,0.41714728,0.62710863,0.012850428,0.25301215,0.025123397,0.25122833,0.07055575,0.2073779,0.11740544,0.19838576,0.09648229
11.265192,6.177471,6.7520247,0,0,0,00:00.0,00:00.0,uploads\b67551bc-3737-11f0-85b7-581122bb7f2c\20210419T000000+1000_REC_6.wav,False,0,0,0,0,0,0,0,0,0,0,0,0,rain (light),-6.024438,1.2692008,0.43389547,0.64756644,-0.0031817053,0.28080657,0.026288839,0.23994493,0.05755162,0.23680456,0.10021981,0.2116693,0.10981277
8.973501,6.6487894,3.813166,0,0,0,00:00.0,00:00.0,uploads\b67551bc-3737-11f0-85b7-581122bb7f2c\20210419T000000+1000_REC_7.wav,False,0,0,0,0,0,0,0,0,0,0,0,0,rain (light),-6.0780935,1.0467935,0.39775515,0.541109,0.07278447,0.22456366,0.10252918,0.22041465,0.124903776,0.17552422,0.104636155,0.14792567,0.12294415
11.191313,6.4163833,6.568081,0,0,0,00:00.0,00:00.0,uploads\b67551bc-3737-11f0-85b7-581122bb7f2c\20210419T000000+1000_REC_8.wav,False,0,0,0,0,0,0,0,0,0,0,0,0,rain (light),-6.0258794,1.2676678,0.4195221,0.6498128,0.047292177,0.294004,0.046747208,0.2546673,0.07331518,0.21002498,0.12925683,0.2093525,0.0935744
11.448857,7.3624907,7.126451,0,0,0,00:00.0,00:00.0,uploads\b67551bc-3737-11f0-85b7-581122bb7f2c\20210419T000000+1000_REC_9.wav,False,0,0,0,0,0,0,0,0,0,0,0,0,rain (light),-5.9869504,1.4196563,0.43750736,0.71131945,0.009590078,0.30923042,0.009217613,0.23336661,0.05492632,0.2172601,0.108065575,0.19411118,0.109306276
