x,y,z,class,start_time,end_time,start_datetime,end_datetime,sound_path,sampled,background_silence,birds,frogs,human_speech,insects,mammals,misc/uncertain,rain_(heavy),rain_(light),vehicles_(aircraft/cars),wind_(strong),wind_(light),propagated_class,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13
11.893006,14.2247715,9.691375,0,0,0,00:00.0,00:00.0,uploads\f2e6d795-3777-11f0-84b6-581122bb7f2c\20210509T000000+1000_REC_0.wav,False,0,0,0,0,0,0,0,0,0,0,0,0,insects,-6.0739045,0.35497627,-0.1007675,0.7789152,-0.39347097,0.28382364,0.38097775,0.099693134,0.0441579,0.5001188,0.035397165,-0.029416407,0.44930333
11.874069,14.195047,9.671039,0,0,0,00:00.0,00:00.0,uploads\f2e6d795-3777-11f0-84b6-581122bb7f2c\20210509T000000+1000_REC_1.wav,False,0,0,0,0,0,0,0,0,0,0,0,0,insects,-6.074746,0.2714312,-0.101243556,0.7962765,-0.32907698,0.25948945,0.36836314,0.02979583,-0.0035405431,0.5746057,0.011824811,-0.00051054277,0.44042638
11.511229,14.096133,9.375393,0,0,0,00:00.0,00:00.0,uploads\f2e6d795-3777-11f0-84b6-581122bb7f2c\20210509T000000+1000_REC_2.wav,False,0,0,0,0,0,0,0,0,0,0,0,0,insects,-6.073157,0.3669495,-0.11444743,0.72206557,-0.28017822,0.15892048,0.4300099,0.0615255,-0.051442284,0.61081505,-0.080020666,0.10589052,0.5017862
11.854559,14.173358,9.654684,0,0,0,00:00.0,00:00.0,uploads\f2e6d795-3777-11f0-84b6-581122bb7f2c\20210509T000000+1000_REC_3.wav,False,0,0,0,0,0,0,0,0,0,0,0,0,insects,-6.0789986,0.2501134,-0.09301555,0.74655116,-0.31537586,0.23951167,0.37900266,0.07648154,-0.042456392,0.55487835,-0.00027216738,-0.05179236,0.47431433
11.347162,15.2121315,8.917265,0,0,0,00:00.0,00:00.0,uploads\f2e6d795-3777-11f0-84b6-581122bb7f2c\20210509T000000+1000_REC_4.wav,False,0,0,0,0,0,0,0,0,0,0,0,0,insects,-6.1079183,0.3322761,0.09196343,0.64184827,-0.21805963,0.12263198,0.3287718,-0.044624045,0.0037024643,0.39300215,0.04196694,-0.048678137,0.46521485
11.948884,14.242372,9.742265,0,0,0,00:00.0,00:00.0,uploads\f2e6d795-3777-11f0-84b6-581122bb7f2c\20210509T000000+1000_REC_5.wav,False,0,0,0,0,0,0,0,0,0,0,0,0,insects,-6.0818214,0.26664928,-0.07406362,0.7568414,-0.3332566,0.21015017,0.36305302,0.09681733,-0.006924369,0.5480311,0.013299213,-0.0030964818,0.4640759
11.65905,14.007906,9.547051,0,0,0,00:00.0,00:00.0,uploads\f2e6d795-3777-11f0-84b6-581122bb7f2c\20210509T000000+1000_REC_6.wav,True,0,0,0,0,1,0,0,0,1,0,0,0,insects,-6.0734353,0.28155047,-0.10025983,0.7654015,-0.3119936,0.21255259,0.40040967,0.07301165,-0.05979441,0.59009606,-0.021652296,0.030771775,0.4949007
11.68681,13.976695,9.589951,0,0,0,00:00.0,00:00.0,uploads\f2e6d795-3777-11f0-84b6-581122bb7f2c\20210509T000000+1000_REC_7.wav,False,0,0,0,0,0,0,0,0,0,0,0,0,insects,-6.06907,0.28357998,-0.122647874,0.774319,-0.34804538,0.2681935,0.40407076,0.073058784,-0.037807003,0.57611144,-0.04556921,-0.01837516,0.46963942
11.723785,13.976839,9.623881,0,0,0,00:00.0,00:00.0,uploads\f2e6d795-3777-11f0-84b6-581122bb7f2c\20210509T000000+1000_REC_8.wav,False,0,0,0,0,0,0,0,0,0,0,0,0,insects,-6.075852,0.33901957,-0.15356125,0.6998561,-0.34893063,0.21993677,0.38577715,0.06624099,-0.05438779,0.5747922,-0.023680009,-0.01904788,0.44749552
11.877956,14.217579,9.662699,0,0,0,00:00.0,00:00.0,uploads\f2e6d795-3777-11f0-84b6-581122bb7f2c\20210509T000000+1000_REC_9.wav,True,0,0,0,0,1,0,0,0,0,0,0,0,insects,-6.0830255,0.22853084,-0.031021785,0.7109821,-0.35531974,0.28943983,0.3627178,0.066679694,0.014150976,0.54821664,0.015291288,-0.07940462,0.46338964
