x,y,z,class,start_time,end_time,start_datetime,end_datetime,sound_path,sampled,background_silence,birds,frogs,human_speech,insects,mammals,misc/uncertain,rain_(heavy),rain_(light),vehicles_(aircraft/cars),wind_(strong),wind_(light),propagated_class,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13
1.5461032,8.479018,13.584038,0,0,0,1970-01-01 00:00:00.000,1970-01-01 00:00:00.000,uploads\1129b583-4551-11f0-8dee-2c0da73a8026\20210604T000000+1000_REC_0.wav,False,0,0,0,0,0,0,0,0,0,0,0,0,insects,-6.0856013,0.5776551,0.014144194,0.6195245,0.09109033,-0.050897565,0.2226302,0.48465982,-0.40558684,0.40046436,0.22052646,-0.014968797,0.06055786
2.0642526,8.034528,13.3883915,0,0,0,1970-01-01 00:00:00.000,1970-01-01 00:00:00.000,uploads\1129b583-4551-11f0-8dee-2c0da73a8026\20210604T000000+1000_REC_1.wav,False,0,0,0,0,0,0,0,0,0,0,0,0,insects,-6.092238,0.7257067,-0.08637346,0.64467007,0.07980233,-0.08195962,0.3151777,0.26308823,-0.17154625,0.24021894,0.29163805,-0.028676344,0.017668085
1.5332355,8.489232,13.567474,0,0,0,1970-01-01 00:00:00.000,1970-01-01 00:00:00.000,uploads\1129b583-4551-11f0-8dee-2c0da73a8026\20210604T000000+1000_REC_2.wav,False,0,0,0,0,0,0,0,0,0,0,0,0,insects,-6.0978317,0.57581127,0.012949479,0.6452883,0.059535135,-0.08541282,0.265632,0.3696786,-0.28167856,0.38203132,0.21171089,0.052463073,0.016695952
2.0912373,8.0155325,13.370736,0,0,0,1970-01-01 00:00:00.000,1970-01-01 00:00:00.000,uploads\1129b583-4551-11f0-8dee-2c0da73a8026\20210604T000000+1000_REC_3.wav,False,0,0,0,0,0,0,0,0,0,0,0,0,insects,-6.0907564,0.6801288,-0.12208405,0.6942918,0.09500903,-0.069201544,0.2916088,0.3125953,-0.17717235,0.24845761,0.30677295,-0.020496057,0.046335265
1.5134937,8.519044,13.6231365,0,0,0,1970-01-01 00:00:00.000,1970-01-01 00:00:00.000,uploads\1129b583-4551-11f0-8dee-2c0da73a8026\20210604T000000+1000_REC_4.wav,False,0,0,0,0,0,0,0,0,0,0,0,0,insects,-6.0933146,0.5727162,-0.01888523,0.5929373,0.124701366,-0.08296658,0.27805373,0.43354926,-0.34292632,0.39923596,0.23022375,-0.011325712,0.07515129
2.0326402,8.050268,13.417488,0,0,0,1970-01-01 00:00:00.000,1970-01-01 00:00:00.000,uploads\1129b583-4551-11f0-8dee-2c0da73a8026\20210604T000000+1000_REC_5.wav,False,0,0,0,0,0,0,0,0,0,0,0,0,insects,-6.0882773,0.71944135,-0.087607704,0.63266855,0.1345883,-0.10340747,0.29479492,0.3383536,-0.23389588,0.2785888,0.2642606,-0.05025815,0.052319113
1.5426348,8.480533,13.583022,0,0,0,1970-01-01 00:00:00.000,1970-01-01 00:00:00.000,uploads\1129b583-4551-11f0-8dee-2c0da73a8026\20210604T000000+1000_REC_6.wav,False,0,0,0,0,0,0,0,0,0,0,0,0,insects,-6.0988035,0.53446203,0.015872072,0.6392621,0.09647845,-0.0952141,0.32913738,0.35244647,-0.3002333,0.38343132,0.21204895,0.022687739,0.043924402
2.0714483,8.046142,13.397572,0,0,0,1970-01-01 00:00:00.000,1970-01-01 00:00:00.000,uploads\1129b583-4551-11f0-8dee-2c0da73a8026\20210604T000000+1000_REC_7.wav,False,0,0,0,0,0,0,0,0,0,0,0,0,insects,-6.0746417,0.773271,-0.080604695,0.68943125,0.07080824,-0.11981459,0.3217161,0.3362111,-0.2645083,0.27077723,0.27915516,-0.030994589,0.011264338
2.1523192,7.990595,13.275858,0,0,0,1970-01-01 00:00:00.000,1970-01-01 00:00:00.000,uploads\1129b583-4551-11f0-8dee-2c0da73a8026\20210604T000000+1000_REC_8.wav,False,0,0,0,0,0,0,0,0,0,0,0,0,insects,-6.077661,0.78364736,-0.12333588,0.7334652,0.031248184,-0.06962806,0.3382821,0.2691257,-0.1630254,0.28033668,0.23140262,-0.011344441,0.021122856
2.0466921,8.076367,13.42728,0,0,0,1970-01-01 00:00:00.000,1970-01-01 00:00:00.000,uploads\1129b583-4551-11f0-8dee-2c0da73a8026\20210604T000000+1000_REC_9.wav,True,0,0,0,0,1,0,0,0,0,0,0,0,insects,-6.0766497,0.7266945,-0.06477495,0.6911428,0.10879583,-0.07859602,0.26611105,0.38453355,-0.31195238,0.31157535,0.29817742,-0.036271203,0.026490614
